date,source,sum
2024-02-01,"John Paycheck",5169.19
2024-02-05,"Jean Paycheck",5101.19
2024-03-01,"John Paycheck",5101.03
2024-03-05,"Jean Paycheck",5326.00
2024-04-01,"John Paycheck",5410.76
2024-04-05,"Jean Paycheck",5301.03
2024-05-01,"John Paycheck",5137.34
2024-05-05,"Jean Paycheck",5370.57
2024-06-01,"John Paycheck",5443.92
2024-06-05,"Jean Paycheck",5347.71
2024-07-01,"John Paycheck",5452.80
2024-07-05,"Jean Paycheck",5338.09
2024-08-01,"John Paycheck",5106.13
2024-08-05,"Jean Paycheck",5039.58
2024-09-01,"John Paycheck",5205.35
2024-09-05,"Jean Paycheck",5187.54
2024-10-01,"John Paycheck",5197.01
2024-10-05,"Jean Paycheck",5357.89
2024-11-01,"John Paycheck",5003.05
2024-11-05,"Jean Paycheck",5362.64
2024-12-01,"John Paycheck",5149.56
2024-12-05,"Jean Paycheck",5177.79
2025-01-01,"John Paycheck",5306.48
2025-01-05,"Jean Paycheck",5323.98
2025-02-01,"John Paycheck",5455.83
2025-02-05,"Jean Paycheck",5259.37
